VesselAISKey,AISTrajectPositionTimeStamp,AISTrajectPositionLongitude,AISTrajectPositionLatitude,AISTrajectPositionNorthing,AISTrajectPositionEasting,AISTrajectPositionCourseOverGround,AISTrajectPositionSpeedOverGround
281923,2018-05-04 20:12:53.243,4.390441895,51.25068283,5678620.731,597038.0086,0,0
281923,2018-05-04 18:41:04.270,4.390494823,51.25065613,5678617.832,597041.7585,0,0
281923,2018-05-04 20:42:54.050,4.390461445,51.25065994,5678618.212,597039.4211,0,0
281923,2018-05-05 08:02:34.697,4.390503407,51.25065994,5678618.267,597042.3495,0,0
281923,2018-05-04 21:13:04.343,4.390458107,51.2506752,5678619.904,597039.156,0,0
281923,2018-05-05 10:02:48.943,4.390528202,51.25065231,5678617.452,597044.0959,0,0
281923,2018-05-05 19:35:10.950,4.390483379,51.25065994,5678618.241,597040.9518,0,0
281923,2018-05-04 21:43:04.963,4.390488148,51.25066757,5678619.096,597041.2685,0,0
281923,2018-05-04 19:11:14.953,4.390480042,51.2506485,5678616.964,597040.743,0,0
281923,2018-05-05 10:32:59.313,4.390516758,51.2506752,5678619.982,597043.2491,0,0
281923,2018-05-04 22:00:24.873,4.390480042,51.25066376,5678618.661,597040.7109,0,0
281923,2018-05-05 20:05:11.650,4.39046669,51.2506485,5678616.946,597039.8112,0,0
281923,2018-05-04 19:41:43.107,4.390463352,51.2506752,5678619.911,597039.5221,0,0
281923,2018-05-05 11:03:08.357,4.390544891,51.25065231,5678617.474,597045.2606,0,0
