VesselAISKey,AISTrajectPositionTimeStamp,AISTrajectPositionLongitude,AISTrajectPositionLatitude,AISTrajectPositionNorthing,AISTrajectPositionEasting,AISTrajectPositionCourseOverGround,AISTrajectPositionSpeedOverGround
290201,2018-05-01 00:00:06.787,4.25441646575928,51.3469276428223,5689152.60543901,587362.330408131,313,0.1
290201,2018-05-01 03:19:10.497,4.22591161727905,51.475658416748,5703434.68075189,585137.757412232,354,7.3
290201,2018-05-01 03:23:50.770,4.22415494918823,51.4847068786621,5704438.8946849,584998.940180701,351,6.9
290201,2018-05-01 09:06:25.463,4.54348659515381,51.9042205810547,5751511.13435514,606184.132391618,250,9.6
290201,2018-05-01 03:28:32.770,4.22234487533569,51.493724822998,5705439.65764149,584856.518396584,353,7
290201,2018-05-01 09:10:16.480,4.52746820449829,51.900634765625,5751089.10454649,605090.578370055,262,9.4
290201,2018-05-01 11:59:37.617,4.38750982284546,51.9042587280273,5751299.34525657,595454.159393063,NULL,0
290201,2018-05-01 09:15:52.217,4.5170464515686,51.9102592468262,5752144.46613213,604351.287665626,343,9.4
290201,2018-05-01 03:33:14.647,4.22014999389648,51.5026741027832,5706432.34419314,584687.563774029,351,6.8
290201,2018-05-01 00:30:08.547,4.25416326522827,51.3470611572266,5689167.15134651,587344.443330802,220.3,0.1
290201,2018-05-01 03:37:59.510,4.21992349624634,51.5117607116699,5707442.58408355,584655.00139304,6,7
290201,2018-05-01 09:19:54.797,4.50576496124268,51.9178810119629,5752975.98446023,603557.786396189,289,9.6
290201,2018-05-01 03:42:35.667,4.22408676147461,51.5204048156738,5708408.70064936,584927.817134033,16,7
290201,2018-05-01 03:47:10.357,4.22866821289063,51.5289916992188,5709368.95796562,585229.635767004,17,7.2
290201,2018-05-01 03:51:41.513,4.23323678970337,51.5375823974609,5710329.64496303,585530.432707438,18,7.2
290201,2018-05-01 03:56:14.750,4.23660326004028,51.5465469360352,5711330.51681821,585747.052684252,7,7.3
290201,2018-05-01 09:24:22.860,4.48951482772827,51.9140815734863,5752530.44229039,602448.904960741,220,9.4
290201,2018-05-01 04:00:44.707,4.23487329483032,51.5554847717285,5712322.45354082,585610.319825553,346,7.3
290201,2018-05-01 09:28:02.410,4.48032331466675,51.9060897827148,5751628.75872839,601834.82285837,221,9.7
290201,2018-05-01 09:31:27.347,4.4683051109314,51.9009437561035,5751039.71174819,601019.650877023,248,9.4
290201,2018-05-01 04:05:14.630,4.2286901473999,51.5636215209961,5713220.11208654,585166.473106951,325,7.1
290201,2018-05-01 04:09:50.537,4.21974325180054,51.5707015991211,5713997.09945411,584533.209439357,320,7.2
290201,2018-05-01 04:15:45.993,4.20769166946411,51.5795860290527,5714971.26771467,583681.695591877,323,7.1
290201,2018-05-01 09:36:42.850,4.44695854187012,51.9009704589844,5751013.27386924,599551.018919243,284,9.1
290201,2018-05-01 12:29:37.977,4.38750648498535,51.9042663574219,5751300.18936956,595453.913600977,NULL,0
290201,2018-05-01 04:20:26.837,4.19864654541016,51.5867233276367,5715754.68981327,583041.961970509,326,7.2
290201,2018-05-01 04:25:03.887,4.19228172302246,51.5948677062988,5716653.21305874,582586.251989801,344,7
290201,2018-05-01 09:40:24.197,4.43236351013184,51.9031639099121,5751237.35499103,598542.127845664,279,9
290201,2018-05-01 04:29:46.623,4.19059991836548,51.6040916442871,5717677.10650668,582453.054193729,6,7.1
290201,2018-05-01 09:44:13.977,4.4178466796875,51.9023132324219,5751123.19668575,597545.306840355,254,8.3
290201,2018-05-01 01:00:08.637,4.25586986541748,51.3490257263184,5689387.65379311,587459.552637659,55,5.7
290201,2018-05-01 09:48:25.543,4.40339994430542,51.8992614746094,5750764.54150571,596557.988167147,248,7.9
290201,2018-05-01 04:34:16.110,4.19405174255371,51.6128273010254,5718652.49724932,582676.225948747,17,7
290201,2018-05-01 04:38:46.937,4.20122814178467,51.6206321716309,5719528.61893441,583158.837109563,37,7.2
290201,2018-05-01 04:43:22.033,4.21243810653687,51.626594543457,5720204.50970331,583923.854722637,62,7.2
290201,2018-05-01 09:56:12.810,4.39034986495972,51.9045104980469,5751331.07336999,595648.997012562,276,4
290201,2018-05-01 04:47:56.817,4.22579479217529,51.6303596496582,5720638.65127045,584841.335974486,66,7.2
290201,2018-05-01 01:05:49.437,4.27014017105103,51.3476142883301,5689247.80619346,588456.027852177,119,5.3
290201,2018-05-01 04:52:24.380,4.23916006088257,51.6339263916016,5721050.91115513,585759.630819091,66,7.3
290201,2018-05-01 01:14:19.457,4.28420352935791,51.3440208435059,5688865.25159035,589442.398462289,95,1.7
290201,2018-05-01 04:56:56.603,4.25264167785645,51.6377220153809,5721488.93154155,586685.393985982,65.5,7.3
290201,2018-05-01 05:01:26.557,4.2661452293396,51.6413536071777,5721908.90771939,587612.833738682,62,7.4
290201,2018-05-01 05:05:56.760,4.27928352355957,51.6455841064453,5722395.21765061,588513.684779557,63,7.3
290201,2018-05-01 05:10:25.030,4.29248809814453,51.6496658325195,5722865.22642954,589419.243081163,63,7.5
290201,2018-05-01 01:39:51.620,4.29844999313354,51.3453903198242,5689035.00882204,590431.905715467,41,6
290201,2018-05-01 05:14:46.250,4.30604648590088,51.6533584594727,5723292.56559264,590349.884365134,67,7.7
290201,2018-05-01 01:44:59.280,4.30143690109253,51.3543128967285,5690030.92298494,590622.319727987,1,6.8
290201,2018-05-01 05:19:05.750,4.31974840164185,51.6564788818359,5723656.6228814,591291.449218453,73,7.5
290201,2018-05-01 01:49:44.343,4.30101156234741,51.3633728027344,5691037.89854202,590574.831568029,0,7
